system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
frontier,hierarchical,fixed,10,20,32,288,287,4,19689610,20.0013,984416
frontier,hierarchical,fixed,100,20,32,288,287,4,19300020,20.0014,964933
frontier,hierarchical,fixed,1000,20,32,288,287,4,5084204,20.0082,254107
frontier,hierarchical,uniform,10,20,32,288,287,4,19872982,20.001,993597
frontier,hierarchical,uniform,100,20,32,288,287,4,19994036,20.0013,999636
frontier,hierarchical,uniform,1000,20,32,288,287,4,5085816,20.0107,254154
frontier,hierarchical_lockfree_rma,fixed,10,20,32,288,287,4,8664960,20.0001,433246
frontier,hierarchical_lockfree_rma,fixed,100,20,32,288,287,4,7576916,20.0001,378843
frontier,hierarchical_lockfree_rma,fixed,1000,20,32,288,287,4,1870707,20.0001,93534.7
frontier,hierarchical_lockfree_rma,uniform,10,20,32,288,287,4,8590256,20.0002,429508
frontier,hierarchical_lockfree_rma,uniform,100,20,32,288,287,4,7578900,20.0002,378942
frontier,hierarchical_lockfree_rma,uniform,1000,20,32,288,287,4,1715502,20.0003,85774
frontier,hierarchical,fixed,10,20,32,1792,1791,4,33824898,20.0049,1.69083e+06
frontier,hierarchical,fixed,100,20,32,1792,1791,4,23069728,20.0063,1.15313e+06
frontier,hierarchical,fixed,1000,20,32,1792,1791,4,35049550,20.0082,1.75176e+06
frontier,hierarchical,uniform,10,20,32,1792,1791,4,34306322,20.0043,1.71494e+06
frontier,hierarchical,uniform,100,20,32,1792,1791,4,22736228,20.0081,1.13635e+06
frontier,hierarchical,uniform,1000,20,32,1792,1791,4,35063354,20.0087,1.7524e+06
frontier,hierarchical_lockfree_rma,fixed,10,20,32,1792,1791,4,27951604,20.0012,1.3975e+06
frontier,hierarchical_lockfree_rma,fixed,100,20,32,1792,1791,4,28852908,20.0004,1.44262e+06
frontier,hierarchical_lockfree_rma,fixed,1000,20,32,1792,1791,4,12727635,20.0002,636375
frontier,hierarchical_lockfree_rma,uniform,10,20,32,1792,1791,4,27975172,20.0012,1.39867e+06
frontier,hierarchical_lockfree_rma,uniform,100,20,32,1792,1791,4,27465219,20.0007,1.37321e+06
frontier,hierarchical_lockfree_rma,uniform,1000,20,32,1792,1791,4,11599873,20.0009,579967
