system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
aurora,naive,uniform,10,20,1,102,101,-1,10671994,20.0005,533587
aurora,hierarchical,uniform,10,20,1,102,101,0,16524608,20.1229,821184
aurora,hierarchical,uniform,10,20,1,102,101,-1,16282608,20.0005,814108
aurora,lockfree_rma,uniform,10,20,1,102,101,-1,124581,20.0001,6229.03
aurora,hierarchical_lockfree_rma,uniform,10,20,1,102,101,0,1835800,20.0001,91789.6
aurora,hierarchical_lockfree_rma,uniform,10,20,1,102,101,-1,1836300,20.0001,91814.8
aurora,naive,uniform,100,20,1,102,101,-1,11153362,20.0005,557654
aurora,hierarchical,uniform,100,20,1,102,101,0,15899208,20.0715,792130
aurora,hierarchical,uniform,100,20,1,102,101,-1,15751008,20.0008,787518
aurora,lockfree_rma,uniform,100,20,1,102,101,-1,115731,20.0001,5786.52
aurora,hierarchical_lockfree_rma,uniform,100,20,1,102,101,0,1963592,20.0001,98179.1
aurora,hierarchical_lockfree_rma,uniform,100,20,1,102,101,-1,1956599,20.0001,97829.6
aurora,naive,uniform,1000,20,1,102,101,-1,1464851,20.1802,72588.4
aurora,hierarchical,uniform,1000,20,1,102,101,0,1832608,20.0051,91606.9
aurora,hierarchical,uniform,1000,20,1,102,101,-1,1834008,20.0081,91663.3
aurora,lockfree_rma,uniform,1000,20,1,102,101,-1,101096,20.0001,5054.77
aurora,hierarchical_lockfree_rma,uniform,1000,20,1,102,101,0,1438122,20.0001,71905.9
aurora,hierarchical_lockfree_rma,uniform,1000,20,1,102,101,-1,1461762,20.0001,73087.6
aurora,naive,uniform,10000,20,1,102,101,-1,166988,20.0471,8329.79
aurora,hierarchical,uniform,10000,20,1,102,101,0,183408,20.0594,9143.25
aurora,hierarchical,uniform,10000,20,1,102,101,-1,182408,20.0675,9089.73
aurora,lockfree_rma,uniform,10000,20,1,102,101,-1,88041,20.0167,4398.38
aurora,hierarchical_lockfree_rma,uniform,10000,20,1,102,101,0,154337,20.1771,7649.1
aurora,hierarchical_lockfree_rma,uniform,10000,20,1,102,101,-1,154825,20.0001,7741.22
aurora,naive,uniform,100000,20,1,102,101,-1,19764,20.5019,964.006
aurora,hierarchical,uniform,100000,20,1,102,101,0,19804,20.7455,954.615
aurora,hierarchical,uniform,100000,20,1,102,101,-1,19404,20.6749,938.529
aurora,naive,uniform,1000000,20,1,102,101,-1,2464,25.8919,95.165
aurora,hierarchical,uniform,1000000,20,1,102,101,0,2604,27.276,95.4685
aurora,hierarchical,uniform,1000000,20,1,102,101,-1,2604,27.7966,93.6806
aurora,naive,uniform,10,20,2,204,203,-1,8417266,20.0008,420846
aurora,hierarchical,uniform,10,20,2,204,203,0,14022106,20.0019,701038
aurora,hierarchical,uniform,10,20,2,204,203,-1,14167696,20.0013,708340
aurora,lockfree_rma,uniform,10,20,2,204,203,-1,3669183,20.0003,183457
aurora,hierarchical_lockfree_rma,uniform,10,20,2,204,203,0,4659822,20.0002,232989
aurora,hierarchical_lockfree_rma,uniform,10,20,2,204,203,-1,4614333,20.0002,230714
aurora,naive,uniform,100,20,2,204,203,-1,10448093,20.2225,516658
aurora,hierarchical,uniform,100,20,2,204,203,0,19117318,20.0156,955123
aurora,hierarchical,uniform,100,20,2,204,203,-1,19299494,20.0007,964939
aurora,lockfree_rma,uniform,100,20,2,204,203,-1,3627616,20.0004,181377
aurora,hierarchical_lockfree_rma,uniform,100,20,2,204,203,0,4871283,20.0003,243561
aurora,hierarchical_lockfree_rma,uniform,100,20,2,204,203,-1,4786958,20.0002,239345
aurora,naive,uniform,1000,20,2,204,203,-1,3042207,20.0042,152078
aurora,hierarchical,uniform,1000,20,2,204,203,0,2588684,20.0078,129384
aurora,hierarchical,uniform,1000,20,2,204,203,-1,2628364,20.2106,130049
aurora,lockfree_rma,uniform,1000,20,2,204,203,-1,1718886,20.0002,85943.4
aurora,hierarchical_lockfree_rma,uniform,1000,20,2,204,203,0,3681593,20.0001,184079
aurora,hierarchical_lockfree_rma,uniform,1000,20,2,204,203,-1,3670337,20.0001,183516
aurora,naive,uniform,10000,20,2,204,203,-1,309843,20.0513,15452.5
aurora,hierarchical,uniform,10000,20,2,204,203,0,271936,20.0676,13551
aurora,hierarchical,uniform,10000,20,2,204,203,-1,274752,20.0607,13696
aurora,lockfree_rma,uniform,10000,20,2,204,203,-1,307192,20.0002,15359.5
aurora,hierarchical_lockfree_rma,uniform,10000,20,2,204,203,0,397064,20.0002,19853
aurora,hierarchical_lockfree_rma,uniform,10000,20,2,204,203,-1,397765,20.0003,19888
aurora,naive,uniform,100000,20,2,204,203,-1,34430,20.7167,1661.94
aurora,hierarchical,uniform,100000,20,2,204,203,0,39000,20.8001,1874.99
aurora,hierarchical,uniform,100000,20,2,204,203,-1,39200,20.8459,1880.46
aurora,naive,uniform,1000000,20,2,204,203,-1,4796,25.4804,188.223
aurora,hierarchical,uniform,1000000,20,2,204,203,0,5434,29.4096,184.77
aurora,hierarchical,uniform,1000000,20,2,204,203,-1,5436,29.0068,187.405
