system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker,exclude_root_node
frontier,probe,8,72,71,4,3,4462856,1.48762e+06,20952.4,0
frontier,noprobe,8,72,71,4,3,4294798,1.4316e+06,20163.4,0
frontier,oneway,8,72,71,4,3,7166562,2.38885e+06,33645.8,0
frontier,probe,8,72,71,64,3,3534361,1.17812e+06,16593.2,0
frontier,noprobe,8,72,71,64,3,3627551,1.20918e+06,17030.8,0
frontier,oneway,8,72,71,64,3,6854695,2.2849e+06,32181.7,0
frontier,probe,8,72,71,256,3,3512066,1.17069e+06,16488.6,0
frontier,noprobe,8,72,71,256,3,1906588,635529,8951.12,0
frontier,oneway,8,72,71,256,3,6652060,2.21735e+06,31230.3,0
frontier,probe,8,72,71,1024,3,2577945,859315,12103,0
frontier,noprobe,8,72,71,1024,3,1632405,544135,7663.87,0
frontier,oneway,8,72,71,1024,3,5816902,1.93897e+06,27309.4,0
frontier,probe,8,72,71,4096,3,1600691,533564,7514.98,0
frontier,noprobe,8,72,71,4096,3,1148315,382772,5391.15,0
frontier,oneway,8,72,71,4096,3,3752628,1.25088e+06,17618,0
frontier,probe,8,72,71,16384,3,1035505,345168,4861.53,0
frontier,noprobe,8,72,71,16384,3,1089376,363125,5114.44,0
frontier,oneway,8,72,71,16384,3,2990457,996819,14039.7,0
