system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker,exclude_root_node
frontier,probe,64,576,567,4,3,732671,244224,430.73,1
frontier,noprobe,64,576,567,4,3,1240143,413381,729.067,1
frontier,oneway,64,576,567,4,3,716467,238822,421.203,1
frontier,probe,64,576,567,64,3,723927,241309,425.589,1
frontier,noprobe,64,576,567,64,3,1226622,408874,721.118,1
frontier,oneway,64,576,567,64,3,716402,238801,421.165,1
frontier,probe,64,576,567,256,3,290504,96834.7,170.784,1
frontier,noprobe,64,576,567,256,3,344991,114997,202.817,1
frontier,oneway,64,576,567,256,3,697609,232536,410.117,1
frontier,probe,64,576,567,1024,3,287432,95810.7,168.978,1
frontier,noprobe,64,576,567,1024,3,339807,113269,199.769,1
frontier,oneway,64,576,567,1024,3,672295,224098,395.235,1
frontier,probe,64,576,567,4096,3,275876,91958.7,162.185,1
frontier,noprobe,64,576,567,4096,3,326864,108955,192.16,1
frontier,oneway,64,576,567,4096,3,669709,223236,393.715,1
frontier,probe,64,576,567,16384,3,234998,78332.7,138.153,1
frontier,noprobe,64,576,567,16384,3,271908,90636,159.852,1
frontier,oneway,64,576,567,16384,3,576856,192285,339.128,1
