src_rank,dst_rank,direction,msg_bytes,iters,avg_rtt_seconds,latency_seconds,bandwidth_MBps
0,1,a->b,1,100,1.78505000122e-06,8.92525000609e-07,1.12041679428
0,1,b->a,1,100,8.93330000054e-07,4.46665000027e-07,2.2388143238
0,1,a->b,2,100,9.01249998151e-07,4.50624999075e-07,4.43828017554
0,1,b->a,2,100,8.93820001693e-07,4.46910000846e-07,4.47517396391
0,1,a->b,4,100,8.90019998678e-07,4.45009999339e-07,8.98856206813
0,1,b->a,4,100,8.81900000422e-07,4.40950000211e-07,9.07132327494
0,1,a->b,8,100,8.90729997991e-07,4.45364998996e-07,17.9627946023
0,1,b->a,8,100,8.94830000107e-07,4.47415000053e-07,17.8804912644
0,1,a->b,16,100,8.86120001269e-07,4.43060000634e-07,36.1124903559
0,1,b->a,16,100,9.01539999631e-07,4.50769999816e-07,35.4948199892
0,1,a->b,32,100,1.0252800007e-06,5.12640000352e-07,62.4219724915
0,1,b->a,32,100,1.04723000049e-06,5.23615000247e-07,61.1136044324
0,1,a->b,64,100,1.19381000104e-06,5.96905000521e-07,107.219741741
0,1,b->a,64,100,1.19210000094e-06,5.96050000468e-07,107.373542404
0,1,a->b,128,100,1.30342000148e-06,6.51710000739e-07,196.406376847
0,1,b->a,128,100,1.18029000078e-06,5.90145000388e-07,216.895847488
0,1,a->b,256,100,1.25553000089e-06,6.27765000445e-07,407.795910601
0,1,b->a,256,100,1.18118000046e-06,5.90590000229e-07,433.464840076
0,1,a->b,512,100,1.56071999982e-06,7.80359999908e-07,656.10743767
0,1,b->a,512,100,1.39408999985e-06,6.97044999924e-07,734.529334628
0,1,a->b,1024,100,1.94044999944e-06,9.70224999719e-07,1055.42528825
0,1,b->a,1024,100,1.50781999992e-06,7.53909999958e-07,1358.25231136
0,1,a->b,2048,100,2.64892999894e-06,1.32446499947e-06,1546.2847269
0,1,b->a,2048,100,2.03584000019e-06,1.01792000009e-06,2011.94592877
0,1,a->b,4096,100,4.69057999908e-06,2.34528999954e-06,1746.4791138
0,1,b->a,4096,100,3.07004000206e-06,1.53502000103e-06,2668.36913998
0,1,a->b,8192,100,4.20152999823e-06,2.10076499911e-06,3899.53183886
0,1,b->a,8192,100,4.03861999985e-06,2.01930999992e-06,4056.83129401
0,1,a->b,16384,100,6.34376999869e-06,3.17188499935e-06,5165.38273089
0,1,b->a,16384,100,6.38284999923e-06,3.19142499961e-06,5133.75686472
0,1,a->b,32768,100,1.13244099998e-05,5.66220499991e-06,5787.14476084
0,1,b->a,32768,100,1.17397200006e-05,5.8698600003e-06,5582.41593467
0,1,a->b,65536,100,1.97663400013e-05,9.88317000065e-06,6631.07079972
0,1,b->a,65536,100,2.02612099997e-05,1.01306049999e-05,6469.1101865
0,1,a->b,131072,100,3.76288000007e-05,1.88144000003e-05,6966.57879059
0,1,b->a,131072,100,3.84031999988e-05,1.92015999994e-05,6826.09782539
0,1,a->b,262144,100,7.35123300001e-05,3.6756165e-05,7131.97364305
0,1,b->a,262144,100,7.37690300002e-05,3.68845150001e-05,7107.15594333
0,1,a->b,524288,100,0.00013999065,6.9995325e-05,7490.32881839
0,1,b->a,524288,100,0.00014013583,7.00679149998e-05,7482.56887624
0,1,a->b,1048576,100,0.0002739385,0.00013696925,7655.55772556
0,1,b->a,1048576,100,0.000274435860001,0.000137217930001,7641.68356129
0,1,a->b,2097152,100,0.00054372287,0.000271861435,7714.04741537
0,1,b->a,2097152,100,0.000544170340002,0.000272085170001,7707.70417217
0,1,a->b,4194304,100,0.00105928486,0.00052964243,7919.12385116
0,1,b->a,4194304,100,0.00107123798,0.00053561899,7830.7604441
